stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2008-11-26,454488337,71,16,3,8,2,702861,150010,302861,550010,374782947,79705390,161156400,293331937,34,33,34,34,852871,34,-1.46252285191956
وصنعت,2008-11-29,171912931,71,9,3,12,1,134595,194072,328657,10,70413185,101499746,171907611,5320,33,33,33,33,328667,33,-1.2987012987013
وصنعت,2008-11-30,35596786,15,6,3,6,1,53264,14212,67466,10,28140022,7456764,35591466,5320,33,32,33,33,67476,33,0
وصنعت,2008-12-01,55028297,26,9,3,3,1,56277,50010,106277,10,29162997,25865300,55022997,5300,33,32,33,33,106287,33,-0.37593984962406
وصنعت,2008-12-02,342348746,129,10,3,15,1,520957,143317,664264,10,268393485,73955261,342343576,5170,34,32,32,32,664274,32,-2.45283018867925
وصنعت,2008-12-03,78382935,24,3,3,7,1,50016,100028,150034,10,25678196,52704739,78377755,5180,33,32,32,32,150044,32,0.193423597678917
وصنعت,2008-12-07,103370224,40,8,1,4,0,185408,20000,205408,0,93310224,10060000,103370224,0,31,31,31,31,205408,32,-0.772200772200772
وصنعت,2008-12-08,3013805,3,3,0,2,0,5819,0,5819,0,3013805,0,3013805,0,33,31,31,33,5819,32,0
وصنعت,2008-12-10,33481000,15,6,0,4,0,67000,0,67000,0,33481000,0,33481000,0,31,31,31,31,67000,32,-0.194552529182879
وصنعت,2008-12-13,96700281,38,5,2,8,0,128528,63390,191918,0,64925281,31775000,96700281,0,32,31,31,32,191918,32,-0.389863547758285
وصنعت,2008-12-14,3134164,2,2,0,1,0,6194,0,6194,0,3134164,0,3134164,0,31,31,31,31,6194,32,0
وصنعت,2008-12-15,71739810,31,6,0,6,0,137300,0,137300,0,71739810,0,71739810,0,33,32,33,33,137300,32,0.391389432485323
وصنعت,2008-12-16,340159946,97,9,1,7,1,539308,104970,159817,484461,284735786,55424160,84366946,255793000,33,33,33,33,644278,33,2.53411306042885
وصنعت,2008-12-21,29979150,9,5,0,6,1,56350,0,50000,6350,29979150,0,26620000,3359150,35,31,33,31,56350,33,1.14068441064639
وصنعت,2008-12-22,71086460,29,12,1,6,0,126916,10000,136916,0,65916460,5170000,71086460,0,34,32,34,32,136916,33,-0.37593984962406
وصنعت,2008-12-23,37679460,10,6,0,2,1,72870,0,24250,48620,37679460,0,12542920,25136540,32,32,32,32,72870,33,-0.188679245283019
وصنعت,2008-12-24,198719505,44,11,0,3,1,384741,0,34741,350000,198719505,0,18348240,180371265,34,32,34,32,384741,33,-1.13421550094518
وصنعت,2008-12-27,53188884,20,9,1,6,0,72800,30000,102800,0,37738884,15450000,53188884,0,33,32,32,32,102800,32,-0.191204588910134
وصنعت,2008-12-28,46891836,22,9,0,7,0,91285,0,91285,0,46891836,0,46891836,0,33,32,33,32,91285,32,-0.191570881226054
وصنعت,2008-12-29,274086336,97,25,2,11,0,519365,20000,539365,0,263746336,10340000,274086336,0,33,31,32,31,539365,32,-1.7274472168906
وصنعت,2009-01-05,415537010,116,4,1,16,0,35000,801000,836000,0,16460000,399077010,415537010,0,35,31,31,34,836000,34,7.57575757575758
وصنعت,2009-01-10,16470300,7,2,0,1,0,34100,0,34100,0,16470300,0,16470300,0,33,33,33,33,34100,34,-0.201207243460765
وصنعت,2009-01-11,2286608,3,3,0,1,0,4744,0,4744,0,2286608,0,2286608,0,33,33,33,33,4744,34,0
وصنعت,2009-01-12,247643031,100,10,2,16,0,386023,110000,496023,0,192112580,55530451,247643031,0,35,33,33,35,496023,34,0.403225806451613
وصنعت,2009-01-13,182379347,80,19,1,14,0,336841,20000,356841,0,172139347,10240000,182379347,0,35,33,35,35,356841,35,1.20481927710843
وصنعت,2009-01-14,56772900,20,3,0,4,0,116100,0,116100,0,56772900,0,56772900,0,34,34,34,34,116100,35,-0.396825396825397
وصنعت,2009-01-17,176214619,71,0,1,5,1,0,361837,351837,10000,0,176214619,171344619,4870000,34,34,34,34,361837,34,-1.39442231075697
وصنعت,2009-01-20,9620000,2,1,0,1,0,20000,0,20000,0,9620000,0,9620000,0,33,33,33,33,20000,34,0
وصنعت,2009-01-26,27976403,12,0,2,5,1,0,58163,48163,10000,0,27976403,23166403,4810000,33,33,33,33,58163,34,-0.202020202020202
وصنعت,2009-01-27,689490000,312,16,1,20,0,436000,1000000,1436000,0,209465000,480025000,689490000,0,35,33,33,33,1436000,33,-2.83400809716599
وصنعت,2009-01-28,603908674,192,33,0,10,1,1295510,0,1289510,6000,603908674,0,601028674,2880000,33,32,32,32,1295510,32,-2.91666666666667
وصنعت,2009-01-31,38858184,22,9,0,4,0,85628,0,85628,0,38858184,0,38858184,0,31,31,31,31,85628,32,-0.214592274678112
وصنعت,2009-02-01,2919513,2,1,0,2,0,6333,0,6333,0,2919513,0,2919513,0,32,32,32,32,6333,32,0
وصنعت,2009-02-02,28923586,13,7,0,3,0,63566,0,63566,0,28923586,0,28923586,0,33,31,33,31,63566,32,-0.21505376344086
وصنعت,2009-02-03,2255000,1,1,0,1,0,5000,0,5000,0,2255000,0,2255000,0,31,31,31,31,5000,32,0
وصنعت,2009-02-04,31570000,16,1,1,6,0,20000,50000,70000,0,9020000,22550000,31570000,0,31,31,31,31,70000,32,-0.21551724137931
وصنعت,2009-02-08,198000,1,1,0,1,0,440,0,440,0,198000,0,198000,0,31,31,31,31,440,32,0
وصنعت,2009-02-11,30276000,12,2,0,4,0,67280,0,67280,0,30276000,0,30276000,0,31,31,31,31,67280,32,-0.215982721382289
وصنعت,2009-02-14,22450000,5,1,0,1,0,50000,0,50000,0,22450000,0,22450000,0,31,31,31,31,50000,32,-0.216450216450216
وصنعت,2009-02-15,448000,1,0,1,1,0,0,1000,1000,0,0,448000,448000,0,31,31,31,31,1000,31,-2.81995661605206
وصنعت,2009-02-18,17400000,4,2,0,1,1,40000,0,30000,10000,17400000,0,13050000,4350000,30,30,30,30,40000,31,-0.223214285714286
وصنعت,2009-02-21,434000,1,0,1,1,0,0,1000,1000,0,0,434000,434000,0,30,30,30,30,1000,30,-2.9082774049217
وصنعت,2009-02-22,795690,2,2,0,1,0,1890,0,1890,0,795690,0,795690,0,29,29,29,29,1890,29,-2.99539170506912
وصنعت,2009-03-03,409000,1,0,1,1,0,0,1000,1000,0,0,409000,409000,0,28,28,28,28,1000,28,-2.85035629453682
وصنعت,2009-03-04,397000,1,0,1,1,0,0,1000,1000,0,0,397000,397000,0,27,27,27,27,1000,27,-2.93398533007335
وصنعت,2009-03-07,19483736,11,3,0,2,0,50476,0,50476,0,19483736,0,19483736,0,27,27,27,27,50476,27,-0.251889168765743
وصنعت,2009-03-09,385000,1,1,0,1,0,1000,0,1000,0,385000,0,385000,0,27,27,27,27,1000,27,-2.77777777777778
وصنعت,2009-03-10,24328700,16,2,2,6,0,15000,50050,65050,0,5610000,18718700,24328700,0,26,26,26,26,65050,26,-0.25974025974026
وصنعت,2009-03-11,41030000,23,2,0,4,1,110000,0,60000,50000,41030000,0,22380000,18650000,26,26,26,26,110000,26,-0.520833333333333
وصنعت,2009-03-14,4953592,5,3,0,3,0,13352,0,13352,0,4953592,0,4953592,0,26,26,26,26,13352,26,0
وصنعت,2009-03-16,7290150,3,2,0,1,0,19650,0,19650,0,7290150,0,7290150,0,26,26,26,26,19650,26,0
وصنعت,2009-03-17,37100000,20,1,0,2,0,100000,0,100000,0,37100000,0,37100000,0,26,26,26,26,100000,26,-0.261780104712042
وصنعت,2009-03-18,352823029,202,29,0,20,1,953153,0,952957,196,352823029,0,352750509,72520,26,26,26,26,953153,26,-2.88713910761155
وصنعت,2009-03-25,14648985,8,2,0,1,1,39000,0,9000,30000,14648985,0,3429000,11219985,26,26,26,26,39000,26,0
وصنعت,2009-03-28,63467391,36,10,1,2,0,169558,6000,175558,0,61247391,2220000,63467391,0,26,25,26,25,175558,25,-0.540540540540541
وصنعت,2009-03-29,27524770,16,3,0,2,1,72630,0,10100,62530,27524770,0,3825900,23698870,26,25,25,26,72630,25,0.271739130434783
وصنعت,2009-03-30,11539108,9,3,0,2,1,30683,0,20938,9745,11539108,0,7874688,3664420,26,26,26,26,30683,25,0
وصنعت,2009-03-31,2904600,1,1,0,0,1,7725,0,0,7725,2904600,0,0,2904600,26,26,26,26,7725,25,0
وصنعت,2009-04-05,114038000,56,16,0,1,1,300100,0,100,300000,114038000,0,38000,114000000,26,26,26,26,300100,26,1.0840108401084
وصنعت,2009-04-06,73836153,27,11,0,3,1,192359,0,92359,100000,73836153,0,35436153,38400000,26,26,26,26,192359,26,0.804289544235925
وصنعت,2009-04-07,85386132,35,9,0,1,1,220636,0,20636,200000,85386132,0,7986132,77400000,27,27,27,27,220636,26,0.797872340425532
وصنعت,2009-04-08,60115140,26,5,0,2,1,154364,0,54364,100000,60115140,0,21161960,38953180,27,27,27,27,154364,26,0.527704485488127
وصنعت,2009-04-11,145402819,88,18,1,3,0,341229,50000,391229,0,126902819,18500000,145402819,0,26,26,26,26,391229,26,-1.31233595800525
وصنعت,2009-04-12,51391336,31,7,0,6,1,136176,0,36176,100000,51391336,0,13791336,37600000,27,26,27,26,136176,26,0
وصنعت,2009-04-13,68162576,41,9,0,10,0,182720,0,182720,0,68162576,0,68162576,0,26,25,26,26,182720,26,-0.265957446808511
وصنعت,2009-04-14,44827865,32,4,1,10,0,98329,20000,118329,0,37328495,7499370,44827865,0,27,26,26,27,118329,26,0.266666666666667
وصنعت,2009-04-15,68825328,41,8,0,5,0,177848,0,177848,0,68825328,0,68825328,0,27,27,27,27,177848,26,0.797872340425532
وصنعت,2009-04-18,202817470,56,13,0,3,1,520065,0,20065,500000,202817470,0,7817470,195000000,27,26,27,27,520065,27,2.11081794195251
وصنعت,2009-04-19,31143898,11,2,0,4,0,78251,0,78251,0,31143898,0,31143898,0,27,27,27,27,78251,27,0.258397932816537
وصنعت,2009-04-20,464835,1,1,0,1,0,1165,0,1165,0,464835,0,464835,0,28,28,28,28,1165,27,0
وصنعت,2009-04-25,39900000,20,2,0,3,0,100000,0,100000,0,39900000,0,39900000,0,28,28,28,28,100000,27,0.257731958762887
وصنعت,2009-04-26,420678800,218,37,0,7,1,1051697,0,951697,100000,420678800,0,380678800,40000000,28,28,28,28,1051697,28,2.82776349614396
وصنعت,2009-04-27,686804,1,1,0,1,0,1667,0,1667,0,686804,0,686804,0,28,28,28,28,1667,28,0
وصنعت,2009-04-28,4120000,2,2,0,1,0,10000,0,10000,0,4120000,0,4120000,0,28,28,28,28,10000,28,0
